Slice,Count,Total Area,Average Size,%Area,Mean,Median
Threshold,2,448,224,0.043,255,255
Threshold,2,376,188,0.036,255,255
Threshold,1,101,101,0.010,255,255
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,1,238,238,0.023,255,255
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,0,0,NaN,0.000,NaN,NaN
Threshold,5,2110,422,0.201,255,255
Threshold,22,10324,469.273,0.985,255,255
Threshold,52,30825,592.788,2.940,255,255
Threshold,74,41359,558.905,3.944,255,255
Threshold,72,37357,518.847,3.563,255,255
Threshold,64,33145,517.891,3.161,255,255
Threshold,55,27620,502.182,2.634,255,255
